School ID,School,Total,Year,Area,Network
610391,Robert Lindblom Math & Science Academy HS,1362,2019,,
610558,Sarah E. Goode STEM Academy,919,2019,,
610357,Spry Community Links High School,126,2019,,
609715,Thomas Kelly High School,1918,2019,,
609698,William J Bogan High School,838,2019,,
609711,William Rainey Harper High School,87,2019,,
610323,Bowen High School,255,2019,,
610381,Bronzeville Scholastic Academy High School,218,2019,,
609754,Chicago Military Academy High School,299,2019,,
609674,Chicago Vocational Career Academy High School,894,2019,,
609705,Christian Fenger Academy High School,203,2019,,
610380,Daniel Hale Williams Prep School of Medicine,177,2019,,
609751,Dr  Martin Luther King  Jr  College Prep HS,516,2019,,
609712,Emil G Hirsch Metropolitan High School,103,2019,,
609761,George H Corliss High School,277,2019,,
609760,George Washington Carver Military Academy HS,483,2019,,
609739,George Washington High School,1445,2019,,
609726,Gwendolyn Brooks College Preparatory Academy HS,986,2019,,
609713,Hyde Park Academy High School,798,2019,,
609710,John M Harlan Community Academy High School,327,2019,,
609746,Kenwood Academy High School,1863,2019,,
609692,Neal F Simeon Career Academy High School,1345,2019,,
609676,Paul Laurence Dunbar Career Academy High School,320,2019,,
610547,South Shore Intl College Prep High School,657,2019,,
610339,Amos Alonzo Stagg Elementary School,402,2019,,
610106,Brian Piccolo Elementary Specialty School,585,2019,,
609883,Charles S Deneen Elementary School,502,2019,,
610248,Chicago Academy Elementary School,542,2019,,
610340,Chicago Academy High School,560,2019,,
610499,Collins Academy High School,222,2019,,
609885,Dewey Elementary Academy of Fine Arts,398,2019,,
610254,Dvorak Technology Academy,393,2019,,
610543,Eric Solorio Academy High School,1195,2019,,
609900,George W Curtis Elementary School,510,2019,,
610103,Isabelle C O'Keeffe Elementary School,614,2019,,
610274,James Weldon Johnson Elementary School,382,2019,,
610263,John Foster Dulles Elementary School,706,2019,,
609971,John Harvard Elementary School of Excellence,367,2019,,
610000,Julia Ward Howe Elementary School of Excellence,427,2019,,
610036,Leslie Lewis Elementary School,462,2019,,
610053,Marquette Elementary School,1059,2019,,
609928,Melville W Fuller Elementary School,389,2019,,
610257,Morton School of Excellence,277,2019,,
609806,Myra Bradwell Communications Arts & Sciences ES,494,2019,,
610231,National Teachers Elementary Academy,735,2019,,
610389,Orr Academy High School,225,2019,,
610021,Pablo Casals Elementary School,421,2019,,
610282,Ronald E McNair Elementary School,389,2019,,
610396,Tarkington School of Excellence ES,949,2019,,
609991,Theodore Herzl Elementary School,560,2019,,
609851,Thomas Chalmers Specialty Elementary School,333,2019,,
609955,Walter Q Gresham Elementary School,325,2019,,
609727,Wendell Phillips Academy High School,770,2019,,
610172,William T Sherman Elementary School,261,2019,,
609844,William W Carter Elementary School,356,2019,,
610038,Abraham Lincoln Elementary School,956,2019,,
610342,Albert R Sabin Elementary Magnet School,542,2019,,
610098,Alfred Nobel Elementary School,692,2019,,
609837,Andrew Carnegie Elementary School,637,2019,,
609951,Ariel Elementary Community Academy,514,2019,,
609820,Augustus H Burley Elementary School,552,2019,,
609786,Avalon Park Elementary School,268,2019,,
610563,Back of the Yards IB HS,1069,2019,,
609922,Belmont-Cragin Elementary School,446,2019,,
609764,Benito Juarez Community Academy High School,1708,2019,,
