Area,Unit,School ID,School,Total,Year
16,4980,610086,Mt Vernon,390,2007
16,5240,610109,Owen,250,2007
16,2651,,Rosenwald - Carrol  Br,164,2007
16,2281,,Shedd - Bennett Br,151,2007
16,6120,610195,Sutherland,793,2007
16,6250,610207,Vanderpoel Magnet,306,2007
16,2920,609871,Vick EC Ctr,207,2007
16,8030,610366,Wacker,265,2007
17,6900,610268,Ashe,731,2007
17,2130,609786,Avalon Park,687,2007
17,7861,,Black Br,190,2007
17,7860,610350,Black Magnet,284,2007
17,2430,609815,Bouchet,"1,037",2007
17,2340,609806,Bradwell,909,2007
17,6980,610280,Buckingham,41,2007
17,2520,609827,Burnside,729,2007
17,2580,609833,Caldwell,445,2007
17,2830,609862,Coles,688,2007
17,7430,610314,Davis Dev Ctr,80,2007
17,3040,609887,Dixon,665,2007
17,7450,610316,Earhart,291,2007
17,3530,609939,Gillespie,714,2007
17,4080,610002,Hoyne,365,2007
17,4350,610027,Kipling,478,2007
17,4570,610047,Madison,487,2007
17,4610,610052,Mann,812,2007
17,4750,610066,McDade Classical,199,2007
17,7390,610312,McDowell,207,2007
17,5880,610171,Mireles,"1,229",2007
17,5060,610093,Neil,425,2007
17,3720,609961,Ninos Heroes,748,2007
17,5180,610103,O'Keeffe,746,2007
17,5300,610116,Parkside,373,2007
17,5440,610130,Pirie,552,2007
17,7010,610281,Powell,618,2007
17,5610,610146,Revere,528,2007
17,5670,610153,Ryder,455,2007
17,7090,610286,South Chicago,156,2007
17,6100,610193,Sullivan,763,2007
17,6970,610279,Tanner,607,2007
17,3110,609895,Turner-Drew,381,2007
17,6350,610218,Warren,429,2007
17,5380,610124,"Washington, H.",675,2007
18,2020,609772,Addams,873,2007
18,2710,609848,Aldridge,210,2007
18,2481,,Anthony - Burnham Br ,158,2007
18,2390,609811,Bright,340,2007
18,5040,610091,"Brown, R.",339,2007
18,2480,609821,Burnham,144,2007
18,2700,609847,Carver Mid,290,2007
18,2690,609845,Carver Primary,329,2007
18,2790,609856,Clay,778,2007
18,6170,610199,"Colemon, J.",286,2007
18,4100,610004,Cullen,366,2007
18,3160,609900,Curtis,559,2007
18,8010,610364,DuBois,276,2007
18,3490,609935,Gallistel,799,2007
18,3491,,Gallistel Br,489,2007
18,3570,609943,Gompers,400,2007
18,3580,609944,Grissom,335,2007
18,2360,609808,Haley,755,2007
18,7210,610295,Higgins,445,2007
18,4550,610045,Lawrence,650,2007
18,4630,610054,Marsh,725,2007
18,3190,609902,Metcalfe,778,2007
18,3470,609932,Owens,473,2007
18,5460,610132,Poe Classical,175,2007
18,5530,610139,Pullman,417,2007
18,5950,610178,Schmid,295,2007
18,5930,610176,Shoop,877,2007
18,3870,609978,"Smith, W.",467,2007
18,5740,610160,Songhai,609,2007
18,6150,610198,Taylor,724,2007
18,6180,610200,"Thorp, J. N.",583,2007
18,6360,610219,"Washington, G.",721,2007
18,6400,610224,West Pullman,530,2007
18,2691,,Wheatley CPC,79,2007
18,6420,610225,Whistler,479,2007
18,7440,610315,White,224,2007
19,1210,609695,Amundsen HS,"1,493",2007
19,6990,610402,DeVry Advantage HS,204,2007
19,1330,609708,Foreman HS,"1,976",2007
19,1410,609716,Kelvyn Park HS,"1,549",2007
19,1430,609719,Lake View HS,"1,494",2007
19,1440,609720,Lane Tech HS,"4,248",2007
19,1620,609738,Lincoln Park HS,"2,192",2007
19,1480,609724,Mather HS,"1,857",2007
19,1140,609691,North-Grand HS,702,2007
19,1740,609749,Northside CPHS,"1,075",2007
19,1690,609744,Northside Lrn Ctr HS,270,2007
19,1070,609679,Prosser HS,"1,383",2007
19,7140,610390,Rickover Naval HS,218,2007
19,1520,609728,Roosevelt HS,"1,628",2007
19,1530,609729,Schurz HS,"2,278",2007
19,7650,610377,Senn AA HS,134,2007
19,1540,609730,Senn HS,"1,372",2007
19,1560,609732,Steinmetz HS,"2,055",2007
19,1570,609733,Sullivan HS,966,2007
19,1580,609734,Taft HS,"2,646",2007
19,2210,610394,Uplift Community HS,433,2007
19,1920,609766,Vaughn Occp HS,228,2007
19,1610,609737,Von Steuben HS,"1,479",2007
21,7020,400018,Austin Bus & Entrp HS,217,2007
21,1220,609696,Austin HS,254,2007
21,1020,610370,Best Practice HS,369,2007
21,6620,610244,Clark Magnet HS,"1,072",2007
21,7980,610401,Clemente AA HS,385,2007
21,1840,609759,Clemente HS,"2,180",2007
21,1880,609763,Collins HS,558,2007
21,7660,610378,Crane AA HS,413,2007
21,1270,609702,Crane Tech HS,"1,038",2007
21,6630,610245,Douglass HS,642,2007
21,2120,609783,"Jefferson, N",450,2007
21,1060,609678,Jones CPHS,807,2007
21,1890,609764,Juarez HS,"1,565",2007
21,1460,609722,Manley HS,"1,084",2007
21,1470,609723,Marshall HS,"1,135",2007
21,1090,609680,Payton CPHS,837,2007
21,7310,610304,Phoenix Mil Acad HS,278,2007
21,1750,609750,Simpson HS,213,2007
21,1640,609740,Wells HS,"1,076",2007
21,1160,609693,Westinghouse HS,160,2007
21,1810,609755,Young Magnet HS,"2,207",2007
22,1730,609748,York Alt HS,317,2007
23,1800,609754,Chicago Mil Acad HS,518,2007
23,1820,609756,Curie HS,"3,018",2007
23,1030,609676,Dunbar Voc HS,"1,752",2007
23,1600,609736,Dyett HS,554,2007
23,7960,609743,Englewood AA HS,250,2007
23,1680,609742,Englewood HS,446,2007
23,1300,609704,Farragut HS,"2,440",2007
23,1340,609709,Gage Park HS,"1,752",2007
23,1950,609769,"Graham, R. Trng CTR",188,2007
23,1200,609694,Hancock HS,873,2007
23,1360,609711,Harper HS,"1,301",2007
23,1940,609768,Hope CPHS,"1,015",2007
23,1670,609741,Hubbard HS,"1,715",2007
23,1390,609713,Hyde Park HS,"2,007",2007
23,1770,610371,IDOC/Healy South HS,106,2007
23,1400,609715,Kelly HS,"3,162",2007
23,1420,609718,Kennedy HS,"1,538",2007
23,1710,609746,Kenwood HS,"1,709",2007
23,1760,609751,King CPHS,923,2007
23,7110,610391,Lindblom MSHS,250,2007
23,1510,609727,Phillips HS,793,2007
23,1110,609682,Richards HS,564,2007
23,7930,610357,Spry Comm Links HS,101,2007
23,7580,610375,Tilden AA HS,249,2007
23,1590,609735,Tilden HS,"1,245",2007
24,1230,609698,Bogan Tech HS,"2,091",2007
24,1500,609726,Brooks CPHS,777,2007
24,1250,609701,Calumet HS,186,2007
24,1850,609760,Carver Mil Acad HS,536,2007
24,7670,609675,Chgo Voc AA HS,408,2007
24,1790,609753,Chicago Agr Sci HS,587,2007
24,1010,609674,Chicago Voc HS,"2,020",2007
24,1860,609761,Corliss HS,"1,364",2007
24,1310,609705,Fenger  HS,"1,119",2007
24,7970,609706,Fenger AA HS,233,2007
24,1350,609710,Harlan HS,"1,388",2007
24,1380,609712,Hirsch HS,"1,025",2007
24,1870,609762,Julian HS,"1,943",2007
24,1910,609765,Las Casas HS,110,2007
24,1490,609725,Morgan Park HS,"2,084",2007
24,7570,610374,Robeson AA HS,227,2007
24,1320,609707,Robeson HS,"1,282",2007
24,1150,609692,Simeon HS,"1,570",2007
24,1700,609745,Southside Occp HS,235,2007
24,1630,609739,"Washington, G. HS","1,599",2007
25,7300,610303,AASTA - Orr HS,506,2007
25,7340,610307,BEST HS,346,2007
25,7730,610337,Big Pict HS - Metro,67,2007
25,7280,610301,Big Pict HS - Yards,81,2007
25,7270,610381,Bronzeville HS,239,2007
25,7770,610340,Chicago Acad HS,378,2007
25,7360,610309,Chicago Discovery HS,406,2007
25,7380,610311,Entrepreneurshp HS,508,2007
25,7290,610302,EXCEL - Orr HS,480,2007
25,7550,610324,Global Visions HS,378,2007
25,7680,610384,Infinity HS,188,2007
25,7630,610385,Multicultural Arts HS,191,2007
25,7540,610323,New Millnm HS,342,2007
25,7690,610334,Raby HS,409,2007
25,7230,610297,Sch Of Leadrshp HS,386,2007
25,7600,610383,Sch Of Soc Just HS,192,2007
25,7220,610296,Sch Of Tech HS,453,2007
25,7370,610310,Sch Of The Arts HS,495,2007
25,7530,610322,Vines Prep HS,515,2007
25,7200,610380,Williams HS - Prep Med,168,2007
25,4460,610392,World Language HS,184,2007
